id,job_geo_coordinate,Latitude,Longitude,installers_required,expected_job_time,est_installation_date,pref_date,pref_time_window,pref_day,pref_installer,installation_date,arrival_start_time,arrival_end_time,installer_ids
2223,"-34.9007279,138.5199928",-34.9007279,138.5199928,1,150,15/01/2023,15/02/2023,"10:00,12:30",1,2,15/01/2023,08:25:00,10:55:00,1
2363,"-34.9336734,138.5141918",-34.9336734,138.5141918,1,120,17/01/2023,,,,2,15/01/2023,11:02:00,01:02:00,1
2370,"-34.8408831,138.6441389",-34.8408831,138.6441389,1,8,10/01/2023,,,1,,15/01/2023,08:00:00,10:00:00,
2448,"-34.8915278,138.6738478",-34.8915278,138.6738478,1,120,28/01/2023,15/02/2023,"13:00,16:00",,,,,,
2521,"-34.9032498,138.6618199",-34.9032498,138.6618199,1,180,28/01/2023,,,2,,,,,
2561,"-34.6825781,138.6693345",-34.6825781,138.6693345,1,240,15/01/2023,16/02/2023,,,,,,,
2592,"-34.8790745,138.6556894",-34.8790745,138.6556894,1,6,26/01/2023,,,3,2,,,,
2608,"-34.9858139,138.6145757",-34.9858139,138.6145757,1,120,15/01/2023,,,,,,,,
2657,"-34.7720571,138.7089082",-34.7720571,138.7089082,1,240,15/02/2023,23/02/2023,,4,,,,,
2662,"-34.9578161,138.569472",-34.9578161,138.569472,1,120,15/02/2023,,,,3,,,,
2702,"-34.7561355,138.6514788",-34.7561355,138.6514788,1,180,15/01/2023,,,0,1,,,,
2705,"-34.8220291,138.7226326",-34.8220291,138.7226326,1,240,16/02/2023,26/02/2023,,,,,,,
2719,"-34.9223373,138.6722414",-34.9223373,138.6722414,1,180,18/02/2023,,,0,,,,,
2745,"-34.8531802,138.6163567",-34.8531802,138.6163567,1,120,19/01/2023,,,,,,,,
